model_id,training_seed,class_name,support,tp,fp,fn,precision,recall,micro_f1
yolo11n,13,yawning,33,26,3,7,0.896551724137931,0.7878787878787878,0.8387096774193549
yolo11n,13,hand_over_mouth,28,27,24,1,0.5294117647058824,0.9642857142857143,0.6835443037974683
yolo11n,13,drinking,56,48,0,8,1.0,0.8571428571428571,0.923076923076923
yolo11n,13,phone_use,497,398,10,99,0.9754901960784313,0.8008048289738431,0.8795580110497238
yolo11n,37,yawning,33,31,4,2,0.8857142857142857,0.9393939393939394,0.9117647058823529
yolo11n,37,hand_over_mouth,28,27,23,1,0.54,0.9642857142857143,0.6923076923076923
yolo11n,37,drinking,56,49,2,7,0.9607843137254902,0.875,0.9158878504672897
yolo11n,37,phone_use,497,397,12,100,0.9706601466992665,0.7987927565392354,0.8763796909492273
yolo11n,73,yawning,33,23,2,10,0.92,0.696969696969697,0.793103448275862
yolo11n,73,hand_over_mouth,28,26,20,2,0.5652173913043478,0.9285714285714286,0.7027027027027025
yolo11n,73,drinking,56,48,0,8,1.0,0.8571428571428571,0.923076923076923
yolo11n,73,phone_use,497,387,5,110,0.9872448979591837,0.778672032193159,0.8706411698537683
yolo26n,13,yawning,33,23,5,10,0.8214285714285714,0.696969696969697,0.7540983606557378
yolo26n,13,hand_over_mouth,28,27,19,1,0.5869565217391305,0.9642857142857143,0.7297297297297297
yolo26n,13,drinking,56,48,2,8,0.96,0.8571428571428571,0.9056603773584904
yolo26n,13,phone_use,497,377,9,120,0.9766839378238342,0.7585513078470825,0.8539071347678369
yolo26n,37,yawning,33,22,8,11,0.7333333333333333,0.6666666666666666,0.6984126984126984
yolo26n,37,hand_over_mouth,28,27,21,1,0.5625,0.9642857142857143,0.7105263157894737
yolo26n,37,drinking,56,48,3,8,0.9411764705882353,0.8571428571428571,0.897196261682243
yolo26n,37,phone_use,497,373,13,124,0.966321243523316,0.7505030181086519,0.8448471121177803
yolo26n,73,yawning,33,19,6,14,0.76,0.5757575757575758,0.6551724137931034
yolo26n,73,hand_over_mouth,28,27,20,1,0.574468085106383,0.9642857142857143,0.7200000000000001
yolo26n,73,drinking,56,44,0,12,1.0,0.7857142857142857,0.88
yolo26n,73,phone_use,497,395,9,102,0.9777227722772277,0.7947686116700201,0.876803551609323
