model_id,training_seed,subject,images,support,tp,fp,fn,precision,recall,micro_f1,far_per_100_negative_frames
yolo11n,13,subject_05,1080,178,165,3,13,0.9821428571428571,0.9269662921348315,0.953757225433526,0.0
yolo11n,13,subject_10,920,183,92,17,91,0.8440366972477065,0.5027322404371585,0.6301369863013699,0.0
yolo11n,13,subject_12,1213,253,242,17,11,0.9343629343629344,0.9565217391304348,0.9453125,1.7708333333333333
yolo11n,37,subject_05,1080,178,160,3,18,0.9815950920245399,0.898876404494382,0.93841642228739,0.0
yolo11n,37,subject_10,920,183,96,21,87,0.8205128205128205,0.5245901639344263,0.64,0.0
yolo11n,37,subject_12,1213,253,248,17,5,0.9358490566037736,0.9802371541501976,0.9575289575289576,1.7708333333333333
yolo11n,73,subject_05,1080,178,163,0,15,1.0,0.9157303370786517,0.9560117302052786,0.0
yolo11n,73,subject_10,920,183,84,12,99,0.875,0.45901639344262296,0.6021505376344086,0.0
yolo11n,73,subject_12,1213,253,237,15,16,0.9404761904761905,0.9367588932806324,0.9386138613861386,1.5625
yolo26n,13,subject_05,1080,178,168,3,10,0.9824561403508771,0.9438202247191011,0.9627507163323781,0.0
yolo26n,13,subject_10,920,183,68,10,115,0.8717948717948718,0.37158469945355194,0.521072796934866,0.0
yolo26n,13,subject_12,1213,253,239,22,14,0.9157088122605364,0.9446640316205533,0.9299610894941633,1.9791666666666667
yolo26n,37,subject_05,1080,178,169,8,9,0.9548022598870056,0.949438202247191,0.9521126760563381,0.0
yolo26n,37,subject_10,920,183,67,13,116,0.8375,0.366120218579235,0.5095057034220531,0.0
yolo26n,37,subject_12,1213,253,234,24,19,0.9069767441860465,0.924901185770751,0.9158512720156555,1.7708333333333333
yolo26n,73,subject_05,1080,178,169,2,9,0.9883040935672515,0.949438202247191,0.9684813753581663,0.0
yolo26n,73,subject_10,920,183,83,14,100,0.8556701030927835,0.453551912568306,0.5928571428571429,0.0
yolo26n,73,subject_12,1213,253,233,19,20,0.9246031746031746,0.9209486166007905,0.9227722772277228,1.6666666666666667
